Rk,Team,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1.0,Memphis Grizzlies,27,240.0,44.9,92.4,0.486,13.2,37.0,0.358,31.7,55.4,0.572,19.1,24.6,0.777,12.3,35.5,47.8,30.2,9.0,6.7,16.9,21.8,122.1
2.0,Cleveland Cavaliers,27,240.0,44.6,88.4,0.504,15.6,39.0,0.399,29.0,49.5,0.586,16.8,21.6,0.779,9.4,33.9,43.3,28.2,9.1,4.8,13.2,18.4,121.5
3.0,Boston Celtics,26,242.9,41.7,91.1,0.458,19.0,51.1,0.372,22.7,40.0,0.568,17.5,21.9,0.796,10.6,34.2,44.8,26.0,7.5,5.5,12.1,16.4,119.9
4.0,Dallas Mavericks,26,241.0,43.7,89.1,0.491,13.7,35.7,0.382,30.1,53.3,0.564,18.3,23.8,0.769,11.4,34.5,45.9,26.0,8.3,5.5,14.4,19.7,119.5
5.0,Denver Nuggets,24,242.1,44.3,89.5,0.494,11.5,30.4,0.38,32.7,59.1,0.553,19.2,25.5,0.753,11.0,34.0,45.0,30.8,9.1,4.7,14.9,18.4,119.2
6.0,Chicago Bulls,27,240.0,43.2,91.0,0.474,16.5,43.7,0.378,26.7,47.4,0.563,16.0,20.0,0.797,8.9,35.4,44.3,29.4,7.5,5.0,15.3,18.6,118.9
7.0,Sacramento Kings,27,242.8,43.1,89.4,0.483,12.0,34.9,0.344,31.1,54.6,0.571,18.4,22.8,0.807,10.2,33.2,43.4,25.9,8.4,4.9,13.4,20.3,116.7
8.0,New York Knicks,26,240.0,43.0,86.5,0.497,14.2,36.0,0.394,28.8,50.5,0.57,16.3,20.2,0.808,9.0,33.3,42.4,27.7,7.3,4.5,13.1,17.2,116.4
9.0,Atlanta Hawks,27,240.9,42.7,92.8,0.46,12.1,35.5,0.341,30.6,57.3,0.534,18.7,24.1,0.774,12.7,33.6,46.3,29.6,9.8,5.3,15.9,19.0,116.2
10.0,Oklahoma City Thunder,25,240.0,42.9,92.4,0.465,13.9,39.6,0.351,29.0,52.8,0.55,15.9,19.6,0.81,10.4,33.3,43.7,25.7,12.2,6.3,11.8,21.1,115.6
11.0,Indiana Pacers,27,241.9,42.6,87.1,0.489,12.6,33.6,0.375,30.0,53.5,0.56,16.7,21.2,0.79,8.4,31.5,39.9,27.6,8.5,5.3,15.0,20.1,114.4
12.0,Phoenix Suns,25,242.0,40.3,85.5,0.471,15.2,39.6,0.383,25.1,45.9,0.547,18.2,22.9,0.794,9.4,33.7,43.1,27.0,7.7,4.8,13.9,18.2,114.0
13.0,Golden State Warriors,25,241.0,41.9,92.2,0.454,15.5,41.6,0.373,26.4,50.7,0.52,14.6,20.8,0.702,13.1,34.7,47.8,29.3,9.1,5.2,14.5,20.1,113.9
14.0,Milwaukee Bucks,25,241.0,41.0,84.7,0.484,14.3,36.8,0.389,26.6,47.8,0.557,17.0,23.4,0.729,8.0,34.8,42.9,24.0,7.2,5.7,14.0,18.9,113.3
15.0,Miami Heat,24,243.1,40.0,88.4,0.453,14.8,39.0,0.379,25.3,49.4,0.511,17.9,22.9,0.782,10.3,33.6,43.9,26.4,9.1,3.5,12.9,16.3,112.8
16.0,Toronto Raptors,27,242.8,42.3,91.1,0.464,11.1,32.7,0.341,31.1,58.4,0.532,16.7,22.4,0.744,13.1,33.0,46.0,28.6,7.7,4.8,16.3,22.3,112.3
17.0,Houston Rockets,26,242.9,41.1,94.0,0.437,11.7,36.3,0.322,29.4,57.7,0.509,18.2,23.8,0.765,14.1,35.3,49.3,22.3,8.7,5.5,13.5,20.4,112.1
18.0,Los Angeles Lakers,26,241.0,40.5,86.0,0.471,11.6,33.4,0.347,28.9,52.6,0.55,18.7,24.1,0.778,9.3,31.6,40.9,26.2,7.9,4.8,13.7,16.9,111.3
19.0,San Antonio Spurs,26,240.0,39.7,87.4,0.454,13.7,39.8,0.344,26.0,47.6,0.546,17.8,22.5,0.793,11.3,33.5,44.8,28.3,7.5,6.5,15.0,16.5,110.9
20.0,Detroit Pistons,27,243.7,40.8,88.0,0.463,13.3,36.8,0.362,27.4,51.2,0.536,15.7,20.6,0.764,11.0,34.5,45.5,25.6,6.4,5.2,16.6,19.9,110.6
21.0,Brooklyn Nets,26,241.9,38.7,84.2,0.46,15.4,39.9,0.385,23.3,44.3,0.527,17.2,21.4,0.806,8.4,29.6,38.0,25.9,7.2,3.8,15.0,22.5,110.1
22.0,Minnesota Timberwolves,25,242.0,39.2,85.4,0.459,14.8,40.0,0.371,24.4,45.4,0.537,16.5,20.8,0.794,9.5,33.3,42.8,24.8,8.8,4.8,16.0,18.2,109.8
23.0,Utah Jazz,25,240.0,38.8,84.9,0.458,13.2,37.3,0.355,25.6,47.6,0.538,18.8,23.8,0.793,11.7,32.2,43.8,24.5,6.8,5.0,18.4,18.6,109.8
24.0,Los Angeles Clippers,27,240.9,40.1,85.8,0.467,12.9,34.2,0.377,27.2,51.6,0.527,16.6,21.4,0.772,11.0,33.0,44.0,24.7,9.8,4.3,16.5,19.0,109.6
25.0,Orlando Magic,28,240.0,38.5,85.4,0.451,11.5,37.3,0.308,27.0,48.1,0.561,18.6,23.7,0.784,10.9,31.2,42.1,23.9,9.6,6.9,15.0,20.3,107.1
26.0,Washington Wizards,24,240.0,39.9,90.8,0.439,11.4,36.2,0.314,28.5,54.5,0.523,16.0,20.6,0.777,10.5,32.8,43.3,24.3,8.1,5.8,16.2,22.3,107.1
27.0,Portland Trail Blazers,26,240.0,39.2,89.4,0.438,12.0,36.1,0.334,27.2,53.3,0.509,16.5,21.3,0.773,12.7,30.2,42.9,22.5,8.3,5.9,16.7,19.8,106.9
28.0,Charlotte Hornets,26,241.9,38.5,89.7,0.429,15.3,43.0,0.355,23.2,46.6,0.498,14.5,18.7,0.775,13.0,32.2,45.2,23.2,7.9,5.0,16.4,21.4,106.7
29.0,Philadelphia 76ers,24,243.1,38.0,85.7,0.443,11.7,35.6,0.327,26.3,50.1,0.525,18.3,23.8,0.769,10.8,29.7,40.4,21.6,9.3,4.0,14.8,20.4,105.9
30.0,New Orleans Pelicans,27,240.0,39.0,89.3,0.437,10.9,33.3,0.329,28.1,56.1,0.501,16.1,21.1,0.761,12.8,30.5,43.3,23.5,9.3,5.3,15.2,18.0,105.1
,League Average,26,241.3,41.2,88.6,0.464,13.5,37.5,0.359,27.7,51.1,0.541,17.2,22.2,0.777,10.8,33.1,43.9,26.1,8.4,5.2,14.9,19.4,113.0
