Restricted Area,In The Paint (Non-RA),Mid-Range,Left Corner 3,Right Corner 3,Corner 3,Above the Break 3
FG%,FGM,FGA,FG%,FGM,FGA,FG%
40.8,4.3,10.7,40.6,7.8,24.5,31.8
39.8,4.3,10.9,39.2,14.7,40.1,36.8
39.7,3.8,10.7,35.4,11.6,29.1,39.9
36.2,3.7,9.8,37.4,11.6,33.0,35.2
37.2,4.6,11.4,39.9,11.9,32.0,37.2
40.4,4.4,10.7,41.4,11.1,28.1,39.5
36.1,3.6,9.6,37.3,10.1,26.0,38.8
45.0,2.8,6.4,42.9,8.8,23.5,37.5
39.9,3.7,10.1,36.3,9.7,26.4,36.6
40.7,4.2,10.2,41.2,11.3,31.0,36.5
39.5,2.7,7.5,35.9,9.0,28.6,31.5
42.9,3.9,8.8,44.1,8.7,24.4,35.7
44.9,3.7,8.6,42.7,9.2,25.6,36.0
31.9,2.4,6.4,37.3,9.2,26.7,34.4
38.8,3.6,10.2,34.8,9.6,26.4,36.4
38.7,4.7,11.8,39.8,10.1,27.0,37.3
47.4,4.3,8.8,49.1,10.0,27.9,35.7
35.2,3.6,10.4,34.4,11.3,29.4,38.3
25.4,2.5,8.3,30.4,8.4,24.9,33.8
38.2,4.0,10.5,37.9,10.2,25.2,40.5
35.7,3.2,8.9,36.0,10.7,30.7,34.8
36.7,3.6,10.7,33.4,7.9,26.1,30.3
36.7,2.8,7.8,35.6,8.9,27.4,32.4
37.8,4.7,11.1,42.4,10.5,28.5,36.7
39.3,3.5,9.3,37.0,8.5,26.4,32.3
42.6,3.7,9.2,40.3,8.3,25.5,32.6
42.3,3.6,9.6,37.6,10.1,29.9,33.7
36.2,4.0,10.4,38.6,7.1,21.9,32.6
43.8,4.1,9.6,42.9,9.1,27.4,33.2
33.3,2.1,6.7,31.3,9.3,29.4,31.6
